# Test data for ascii data initial conditions.
# Only next line is parsed in format: [nlongitude] [ncolatitude] because of keyword "POINTS:"
# POINTS: 201 241
# Columns: longitude colatitude litho crust
0.527962 1.22173 72411.9	40351 27057 13758 2945.87011719 2804.62988281 2703.75
0.532325 1.22173 71885.2	41588 27852 14110 2957.77001953 2815.95996094 2714.66992188
0.536689 1.22173 72671.4	42825 28647.9980469 14462 2969.66992188 2827.29003906 2725.59008789
0.541052 1.22173 73925.9	43726 29221 14704 2978.39990234 2835.60009766 2733.60009766
0.545415 1.22173 75241	42745 28547 14342 2969.14990234 2826.79003906 2725.11010742
0.549779 1.22173 76349.5	41524 27716 13904 2957.60009766 2815.80004883 2714.51000977
0.554142 1.22173 76821.2	40303 26884 13466 2946.05004883 2804.80004883 2703.90966797
0.558505 1.22173 77157.9	39083 26053 13028 2934.5 2793.80004883 2693.31005859
0.562869 1.22173 77568.3	37869 25231 12601 2922.90991211 2782.77001953 2682.66992188
0.567232 1.22173 78011.4	38477 25642 12816 2937.40991211 2796.57006836 2695.97998047
0.571595 1.22173 78233.3	39688 26459 13237 2960.62011719 2818.66992188 2717.2800293
0.575959 1.22173 78454.8	40899 27276 13659 2983.83007812 2840.77001953 2738.59008789
0.580322 1.22173 78727.3	42109 28094 14081 3007.04003906 2862.87011719 2759.88989258
0.584685 1.22173 78982.7	43313 28903 14493 3030.33007812 2885.04003906 2781.26000977
0.589049 1.22173 79075.1	43279 28872 14465 3040.9699707 2895.16992188 2791.02001953
0.593412 1.22173 79081.3	42776 28524 14273 3046.7199707 2900.64990234 2796.31005859
0.597775 1.22173 79017.9	42273 28177 14081 3052.47998047 2906.12988281 2801.59008789
0.602139 1.22173 78841.4	41771 27830 13890 3058.23999023 2911.61010742 2806.87988281
0.606502 1.22173 78446.2	41221 27451 13683 3059.29003906 2912.61010742 2807.84008789
0.610865 1.22173 77892.5	39564 26331 13100 3038.20019531 2892.54003906 2788.48999023
0.615229 1.22173 77146	37367 24849 12333 3009.22998047 2864.94995117 2761.89990234
0.619592 1.22173 76021.2	35169 23367 11566 2980.25 2837.37011719 2735.30004883
0.623955 1.22173 74129.6	32972 21884 10799 2951.2800293 2809.7800293 2708.70996094
0.628319 1.22173 71801.1	31243.0019531 20715 10188 2931.18994141 2790.65991211 2690.27001953
0.632682 1.22173 69218	28596.0019531 18896 9375 2944.86010742 2798.30004883 2693.09008789
0.637045 1.22173 66579.7	24909.9980469 16361 8278 2970.66992188 2814.16992188 2701
0.641409 1.22173 64278.5	21222.9980469 13824.9990234 7181 2996.48999023 2830.04003906 2708.91992188
0.645772 1.22173 62004.7	17537 11289.9980469 6085 3022.31005859 2845.90991211 2716.83007812
0.650135 1.22173 59783.5	14223 8893 5014 3033.84008789 2848.30004883 2711.85009766
0.654498 1.22173 58074.4	13444.0009766 8295.99902344 4856 3009.45996094 2821.98999023 2683.85009766
0.658862 1.22173 57863.6	13893 8731.99902344 5280.99951172 2979.39990234 2793.79003906 2657.0300293
0.663225 1.22173 58239.5	14342.0019531 9166.99902344 5705 2949.33007812 2765.60009766 2630.2199707
0.667588 1.22173 58694.3	14789.9980469 9602.99902344 6129.00048828 2919.26000977 2737.39990234 2603.40991211
0.671952 1.22173 58783.4	14616.9980469 9732.00097656 6460.00048828 2899.18994141 2718.58007812 2585.51000977
0.676315 1.22173 57779.4	13857.9990234 9537 6515.00048828 2899.19995117 2720.7800293 2587.60009766
0.680678 1.22173 56404.8	13775.9990234 9651.99902344 6552.00048828 2895.27001953 2720.68994141 2587.51000977
0.685042 1.22173 55045.3	13692.9990234 9765.99902344 6590.00048828 2891.33007812 2720.60009766 2587.41992188
0.689405 1.22173 53989.5	13610.0009766 9881 6627 2887.39990234 2720.5 2587.33007812
0.693768 1.22173 53669.4	14326.0009766 10504 6893.00048828 2894.02001953 2730.38989258 2596.73999023
0.698132 1.22173 53685.2	19651.0019531 13901.9990234 8269 2938.55004883 2772.06005859 2641.65991211
0.702495 1.22173 53901.8	26115.9980469 17942 9863 2986.32006836 2814.67993164 2690.2199707
0.706858 1.22173 54449.3	32580.9980469 21982 11457 3034.08007812 2857.29003906 2738.77001953
0.711222 1.22173 55711.7	39046 26023 13052 3081.84008789 2899.90991211 2787.33007812
0.715585 1.22173 57294.1	44907 29680 14476 3118.86010742 2932.38989258 2826.23999023
0.719948 1.22173 58939.6	46315 30587 14867 3112.88989258 2926.12011719 2822.36010742
0.724312 1.22173 60314.1	46986 31055.0019531 15131 3106.98999023 2920.57006836 2817
0.728675 1.22173 60797.7	47656 31523 15393.9990234 3101.08007812 2915.02001953 2811.64990234
0.733038 1.22173 60989.9	48327 31992 15657.9990234 3095.16992188 2909.45996094 2806.29003906
0.737402 1.22173 61306.8	48962 32425 15887 3090 2904.60009766 2801.60009766
0.741765 1.22173 62393.5	49154 32555 15958 3084.91992188 2899.82006836 2796.98999023
0.746128 1.22173 65533.8	49307 32674.0019531 16045 3078.7800293 2894.05004883 2791.42993164
0.750492 1.22173 69373.8	49460 32793 16132 3072.63989258 2888.2800293 2785.86010742
0.754855 1.22173 73212.5	49613 32911 16219 3066.5 2882.51000977 2780.29003906
0.759218 1.22173 76622.4	49798 33052 16318 3060.60009766 2876.9699707 2774.94995117
0.763582 1.22173 79072	50140.0039062 33334 16534 3066.82006836 2882.81005859 2780.59008789
0.767945 1.22173 81104.4	50483 33616 16750 3073.04003906 2888.65991211 2786.22998047
0.772308 1.22173 83069.5	50825 33898 16966 3079.26000977 2894.51000977 2791.87011719
0.776672 1.22173 85325.5	51105 34147 17180 3083.69995117 2898.67993164 2795.88989258
0.781035 1.22173 88449.9	51281 34337 17382 3081.27001953 2896.38989258 2793.67993164
0.785398 1.22173 91902.6	51356 34471 17574 3073.26000977 2888.87011719 2786.41992188
0.789761 1.22173 95431.9	51432 34605 17767 3065.26000977 2881.34008789 2779.16992188
0.794125 1.22173 98999.2	51508 34740 17960 3057.25 2873.82006836 2771.90991211
0.798488 1.22173 102693	51870 35043 18207 3054.10009766 2870.85009766 2769.05004883
0.802851 1.22173 106241	51732 35001 18263 3046.68994141 2863.87988281 2762.33007812
0.807215 1.22173 109389	51594 34959 18320 3039.27001953 2856.90991211 2755.61010742
0.811578 1.22173 111816	51456 34916 18377 3031.86010742 2849.93994141 2748.87988281
0.815941 1.22173 113084	51256 34864 18474 3030 2848.19995117 2747.19995117
0.820305 1.22173 113528	51021 34785 18552 3030 2848.19995117 2747.19995117
0.824668 1.22173 114011	50780 34695 18615 3030 2848.19995117 2747.19995117
0.829031 1.22173 117308	50539 34606 18678 3030 2848.19995117 2747.19995117
0.833395 1.22173 129504	50281 35104 19030 3031.5 2850.87988281 2756.7800293
