# Test data for ascii data initial conditions.
# Only next line is parsed in format: [nlongitude] [ncolatitude] because of keyword "POINTS:"
# POINTS: 201 241
# Columns: longitude colatitude litho crust
0.261799 1.22173 61630	14666.0009766	7864.99951172	5666	2897.5	2707.5	2422.5
0.266163 1.22173 61490	15089	8297	6103	2898.83007812	2708.73999023	2423.61010742
0.270526 1.22173 61310	16055.9990234	8778	6428	2910.84008789	2719.9699707	2433.65991211
0.274889 1.22173 61130	15156	8487	6335	2922.7800293	2731.12011719	2443.63989258
0.279253 1.22173 61020	14254.9980469	8196.99804688	6241.99951172	2934.7199707	2742.2800293	2453.62011719
0.283616 1.22173 61030	13284.9990234	7891.00048828	6151.00048828	2946.67993164	2753.44995117	2463.61010742
0.287979 1.22173 61210	12692.0019531	7673.00048828	6053	2963.19995117	2768.88989258	2477.42993164
0.292343 1.22173 61600	12133	7553.99853516	6077	2998.5	2801.87988281	2506.93994141
0.296706 1.22173 62200	11565	7400.99902344	6057	3033.81005859	2834.87011719	2536.45996094
0.301069 1.22173 62970	10998	7246.99853516	6037.00048828	3069.11010742	2867.86010742	2565.97998047
0.305433 1.22173 63850	10674	7164.99951172	6032	3096.88989258	2893.82006836	2589.20996094
0.309796 1.22173 64770	10868	7234.99902344	6059.00097656	3108.56005859	2904.7199707	2598.95996094
0.314159 1.22173 65630	10843.9990234	7253.99902344	6091.00048828	3101.58007812	2898.18994141	2593.12011719
0.318523 1.22173 66390	10761.9970703	7258.99804688	6123.99951172	3089.64990234	2887.05004883	2583.14990234
0.322886 1.22173 67020	10850.9980469	7321.99951172	6178.00048828	3077.76000977	2875.93994141	2573.20996094
0.327249 1.22173 67550	11140.0009766	7452.99902344	6257	3065.90991211	2864.87011719	2563.30004883
0.331613 1.22173 68050	11430.0019531	7583.99853516	6337	3054.06005859	2853.79003906	2553.38989258
0.335976 1.22173 68570	12281	7889.99804688	6468	3057.86010742	2857.35009766	2556.58007812
0.340339 1.22173 69180	13060	8231	6667	3069.79003906	2868.48999023	2566.54003906
0.344703 1.22173 69910	13609.9990234	8536	6891	3081.67993164	2879.60009766	2576.48999023
0.349066 1.22173 70750	14159.9990234	8841	7116.00048828	3093.58007812	2890.7199707	2586.42993164
0.353429 1.22173 71670	14635.9990234	9109.99804688	7315.99951172	3100.72998047	2897.39990234	2592.40991211
0.357792 1.22173 72610	15077.9980469	9365	7511.00048828	3120.39990234	2915.7800293	2608.86010742
0.362156 1.22173 73510	15220.9970703	9543	7701	3138.17993164	2932.39990234	2623.7199707
0.366519 1.22173 74310	15364.0009766	9720	7891.00097656	3155.95996094	2949.01000977	2638.59008789
0.370882 1.22173 75000	15506	9897.99804688	8080	3173.73999023	2965.62011719	2653.44995117
0.375246 1.22173 75500	14229.0009766	9543.00097656	8025	3133.98999023	2928.48999023	2620.2199707
0.379609 1.22173 75680	13030.9990234	9190.99902344	7949	3099.58007812	2896.33007812	2591.44995117
0.383972 1.22173 75880	12207.9990234	8936	7878.99951172	3084	2881.77001953	2578.42993164
0.388336 1.22173 77750	11407	8698.99804688	7826	3071.43994141	2870.04003906	2567.92993164
